URL,Title,Selection,Folder
http://www.zcommunications.org/why-wikileaks-must-be-protected-by-john-pilger,"ZCommunications | Why Wikileaks Must Be Protected by John Pilger | ZSpace",,Archive
"http://www.foxnews.com/story/0,2933,597965,00.html","WikiLeaks' Crusade Against the U.S. Military - Red Eye w/ Greg Gutfeld - FOXNews.com","obv. this comes from Fox news, excessively unsubstantiated and homophobic","Wikileaks reading list"
http://www.voanews.com/english/news/Embattled-Wikileaks-Founder-Facing-Rape-Charge-in-Sweden-101219394.html,"VOA | Sweden Withdraws Arrest Warrant for Embattled WikiLeaks Founder | News | English","an short referal in August Sweden issued-then-withdrew report","Wikileaks reading list"
http://online.wsj.com/article/SB10001424052748703940904575395500694117006.html?mod=googlenews_wsj#articleTabs%3Darticle,"WikiLeaks 'Bastards' - WSJ.com",,Archive
http://news.smh.com.au/breaking-news-national/assange-may-have-committed-offence-ada-20100728-10vp8.html,"Assange may have committed offence: ADA",,Archive
http://www.thedailybeast.com/blogs-and-stories/2010-08-10/a-western-crackdown-on-wikileaks/,"WikiLeaks' Julian Assange Could Face Criminal Charges from U.S. Allies - The Daily Beast ",,Archive
http://online.wsj.com/article/SB10001424052748704407804575425900461793766.html?mod=WSJ_article_LatestHeadlines#articleTabs%3Darticle,"Pentagon Slams WikiLeaks' Plan to Post More War Logs - WSJ.com",,Archive
http://www.guardian.co.uk/commentisfree/2010/jul/25/afghanistan-war-logs-guardian-editorial?intcmp=239," Afghanistan war logs: the unvarnished picture | Editorial | Comment is free | The Guardian ","short intro to warlogs ""A war fought ostensibly for the hearts and minds of Afghans cannot be won like this.""","Wikileaks reading list"
http://www.themonthly.com.au/monthly-essays-john-birmingham-man-who-fell-earth-julian-assange-s-wikileaks-2789,monthly-essays-john-birmingham-man-who-fell-earth-julian-assange-s-wikileaks-2789,"Critical--takes viewpoint that Afghan War Diaries putting people at risk","Wikileaks reading list"
http://www.washingtonpost.com/wp-dyn/content/article/2010/06/09/AR2010060906170.html,"Messages from alleged leaker Bradley Manning portray him as despondent soldier",,Archive
http://www.guardian.co.uk/media/2010/jun/21/wikileaks-founder-julian-assange-breaks-cover," WikiLeaks founder Julian Assange breaks cover but will avoid America | Media | The Guardian ",,Archive
http://www.bbc.co.uk/news/10265430,"BBC News - Wikileaks site unfazed by arrest of US army 'source'",,Archive
http://www.bbc.co.uk/news/10255887,"BBC News - Hacker explains why he reported 'Wikileaks source'","more of Manning's side of the story","Wikileaks reading list"
http://www.bbc.co.uk/news/10254072,"BBC News - US intelligence analyst arrested over security leaks",,Archive
http://www.wired.com/threatlevel/2010/06/leak/,"U.S. Intelligence Analyst Arrested in Wikileaks Video Probe | Threat Level | Wired.com","profile of Manning","Wikileaks reading list"
http://www.independent.co.uk/news/media/current-google-insights-trends-wikileaks-posts-clasified-military-video-masters-1942629.html,"
                Current Google Insights trends: Wikileaks posts clasified military video, Masters -
                    Media, News - The Independent",,Archive
http://www.newyorker.com/online/blogs/newsdesk/2010/04/the-wikileaks-video-reading-the-report.html,"News Desk: The WikiLeaks Video: Reading the Report : The New Yorker",,Archive
http://www.nytimes.com/2010/04/06/world/middleeast/06baghdad.html,06baghdad.html,,Archive
http://wikileaks.org/file/us-intel-wikileaks.pdf,us-intel-wikileaks.pdf,,Archive
http://www.wired.com/images_blogs/threatlevel/2010/03/wikithreat.pdf,wikithreat.pdf,,Archive
http://www.nytimes.com/2010/03/18/us/18wiki.html,18wiki.html,,Archive
http://news.cnet.com/8301-13578_3-20000469-38.html,8301-13578_3-20000469-38.html,"CNET article--more valuable for its links to original sources and sections of the espionage act","Wikileaks reading list"
http://www.wired.com/threatlevel/2009/11/wikileaks-pages/,"Wikileaks Says It Has Half-a-Million 9/11 Pager Messages | Threat Level | Wired.com",,Archive
http://www.theregister.co.uk/2010/06/07/wikileaks_arrest/,"Wikileaks' US army 'leaker' arrested • The Register",,Archive
http://www.nbcnewyork.com/news/local-beat/Analysis-of-911-Pager-Data-Paints-Chilling-Picture-78219132.html,"                                         Analysis of 9/11 Pager Data Paints Chilling Picture  |                      NBC New York       ","short report on 911 pager leak, with some excerpts of pages, example of a nice handling of a sensitive topic with reference to original data.","Wikileaks reading list"
http://911.wikileaks.org/,http://911.wikileaks.org/,,Archive
http://www.dn.se/nyheter/varlden/brittisk-instruktion-mot-lackor-har-lackt-ut-1.968704,"Brittisk instruktion mot lÃ¤ckor har lÃ¤ckt ut - DN.se",,Archive
http://www.telegraph.co.uk/news/newstopics/politics/defence/6261756/MoD-how-to-stop-leaks-document-is-leaked.html,"MoD 'how to stop leaks' document is leaked - Telegraph",,Archive
http://www.google.com/hostednews/afp/article/ALeqM5jRXbUVXZXzphjcFfhmcjSq_E262A,"AFP: Failed Icelandic bank seeks 197 million euros from former staff",,Archive
http://www.ruv.is/heim/frettir/frett/store64/item292385,"Ríkisútvarpið vefur",,Archive
http://www.telegraph.co.uk/news/uknews/6350262/Secret-Trafigura-report-said-likely-cause-of-illness-was-release-of-toxic-gas-from-dumped-waste.html,"Secret Trafigura report said ‘likely cause’ of illness was release of toxic gas from dumped waste - Telegraph","horrifying example of injustice brought to light by leak, and response of company to suppress it less there be ""biased reporting"" i.e. the truth?","Wikileaks reading list"
http://www.guardian.co.uk/media/2009/oct/13/guardian-gagged-parliamentary-question," Gag on Guardian reporting MP's Trafigura question lifted | Media | guardian.co.uk ",,Archive
http://news.bbc.co.uk/2/hi/uk_news/politics/8304908.stm,"BBC NEWS | UK | UK Politics | When is a secret not a secret?",,Archive
http://www.guardian.co.uk/commentisfree/libertycentral/2009/oct/14/trafigura-fiasco-tears-up-textbook," The Trafigura fiasco tears up the textbook | Alan Rusbridger | Comment is free | The Guardian ",,Archive
http://www.guardian.co.uk/media/2009/oct/12/guardian-gagged-from-reporting-parliament," Guardian gagged from reporting parliament | Media | The Guardian ","original gag order of Guardian transfigura reporting, Kafkaesque indeed","Wikileaks reading list"
http://wikileaks.org/leak/waterson-toxicwaste-ivorycoast-%C3%A92009.pdf,waterson-toxicwaste-ivorycoast-%C3%A92009.pdf,,"WL original leaks"
http://www.tcetoday.com/trafigura,"Trafigura story breaks",,"Wikileaks reading list"
"https://secure.wikileaks.org/wiki/Minton_report_secret_injunction_gagging_The_Guardian_on_Trafigura,_11_Sep_2009","Minton_report_secret_injunction_gagging_The_Guardian_on_Trafigura,_11_Sep_2009",,Archive
"http://mirror.wikileaks.info/wiki/Minton_report_secret_injunction_gagging_The_Guardian_on_Trafigura,_11_Sep_2009/","Minton_report_secret_injunction_gagging_The_Guardian_on_Trafigura,_11_Sep_2009",,Archive
http://www.indexoncensorship.org/2009/10/a-gag-too-far/,"Index on Censorship » Blog Archive » A gag too far",,Archive
http://warincontext.org/2010/09/26/iran-confirms-stuxnet-found-at-bushehr-nuclear-power-plant/,"Iran confirms Stuxnet found at Bushehr nuclear power plant â  War in Context",,Archive
http://blog.foreignpolicy.com/posts/2010/09/27/6_mysteries_about_stuxnet,"6 mysteries about Stuxnet | FP Passport",,Archive
http://www.csmonitor.com/USA/2010/0924/Stuxnet-worm-mystery-What-s-the-cyber-weapon-after,"        Stuxnet worm mystery: What's the cyber weapon after? - CSMonitor.com
    ",,Archive
http://mirror.wikileaks.info/wiki/Serious_nuclear_accident_may_lay_behind_Iranian_nuke_chief%27s_mystery_resignation/,Serious_nuclear_accident_may_lay_behind_Iranian_nuke_chief%27s_mystery_resignation,,Archive
http://news.bbc.co.uk/2/hi/8153775.stm,"BBC NEWS | Middle East | Iranian nuclear chief steps down",,Archive
"http://wikileaks.org/wiki/86_interceptaciones_telefonicas_a_politicos_y_autoridades_peruanos,_m%C3%A1s_del_caso_Petrogate,_2008","86_interceptaciones_telefonicas_a_politicos_y_autoridades_peruanos,_m%C3%A1s_del_caso_Petrogate,_2008",,"WL original leaks"
http://wikileaks.org/wiki/Bilderberg_Group_History%2C_1956,Bilderberg_Group_History%2C_1956,,"WL original leaks"
http://wikileaks.org/wiki/Category:Series/Bilderberg_reports,Bilderberg_reports,,"WL original leaks"
http://secure.wikileaks.org/wiki/Internet_Censorship_in_Thailand,Internet_Censorship_in_Thailand,,Archive
http://web.archive.org/web/20080116070133/http://secure.wikileaks.org/wiki/Internet_Censorship_in_Thailand,"Internet Censorship in Thailand - Wikileaks",,Archive
http://www.abc.net.au/news/stories/2009/03/19/2520929.htm?section=australia,"Leaked blacklist irresponsible, inaccurate: Conroy - ABC News (Australian Broadcasting Corporation)",,Archive
http://www.zdnet.com.au/wikileaks-spills-acma-blacklist-339295538.htm,"Wikileaks spills ACMA blacklist - Security - News",,Archive
http://www.smh.com.au/articles/2009/03/19/1237054961100.html,"Leaked Australian blacklist reveals banned sites - Technology - smh.com.au",,Archive
http://www.forbes.com/2009/03/19/australia-internet-censorship-markets-economy-wikileaks.html,"Aussie Internet Blacklist Has Gray Areas - Forbes.com",,Archive
http://www.efa.org.au/2009/03/19/leaked-government-blacklist-confirms-worst-fears/,"EFA » Leaked Government blacklist confirms worst fears",,Archive
http://www.smh.com.au/technology/technology-news/wikileaks-shuts-down-unable-to-plug-funding-gap-20100202-n9z4.html,"Wikileaks shuts down, unable to plug funding gap",,Archive
http://www.nypost.com/p/news/opinion/opedcolumnists/wikileaks_org_aims_to_expose_lies_flsLqNMO3B0LEtxL5bNaKL,"WikiLeaks.org aims to expose lies, topple governments - NYPOST.com",,Archive
http://www.official-documents.gov.uk/document/cm79/7934/7934.pdf,7934.pdf,,Archive
http://wikileaks.org/wiki/The_Guardian:_Censored_Barclays_tax_avoidance_leaked_memos%2C_16_Mar_2009,The_Guardian:_Censored_Barclays_tax_avoidance_leaked_memos%2C_16_Mar_2009,,"WL original leaks"
http://wikileaks.org/wiki/The_Big_Bad_Database_of_Senator_Norm_Coleman,The_Big_Bad_Database_of_Senator_Norm_Coleman,,"WL original leaks"
http://wikileaks.org/wiki/Change_you_can_download:_a_billion_in_secret_Congressional_reports,Change_you_can_download:_a_billion_in_secret_Congressional_reports,,"WL original leaks"
http://www.wikileaks.name/Change_you_can_download-_a_billion_in_secret_Congressional_reports.htm,"Change you can download: a billion in secret Congressional reports - WikiLeaks",,"WL original leaks"
http://britanniaradio.blogspot.com/2009/01/wikileaks-releases-un-bombshell_15.html,"Britannia Radio",,Archive
http://www.guardian.co.uk/politics/2009/oct/20/bnp-membership-list-wikileaks," BNP membership list appears on Wikileaks | Politics | guardian.co.uk ",,Archive
http://www.dailymail.co.uk/news/article-1087101/Police-officer-faces-investigation-outed-BNP-supporter-membership-leak.html,"Police officer faces investigation after being 'outed' as BNP supporter in membership leak 
 | Mail Online",,Archive
http://news.infoshop.org/article.php?story=20081118214827111,article.php,,Archive
http://www.guardian.co.uk/politics/2008/nov/19/bnp-list," BNP membership list posted online by former 'hardliner' | UK news | guardian.co.uk ",,Archive
http://news.bbc.co.uk/2/hi/uk_news/england/merseyside/7956824.stm,"BBC NEWS | UK | England | Merseyside | 'BNP membership' officer sacked",,Archive
http://www.theregister.co.uk/2008/09/18/palin_email_investigation/,"Memo to US Secret Service: Net proxy may pinpoint Palin email hackers • The Register",,Archive
http://politics.slashdot.org/article.pl?sid=08/09/21/160222,"Palin Email Hacker Found - Slashdot",,Archive
http://www.telegraph.co.uk/news/worldnews/northamerica/usa/sarah-palin/2980391/Sarah-Palins-email-account-broken-into-by-hackers.html,"Sarah Palin's email account broken into by hackers  - Telegraph",,Archive
http://www.foxnews.com/politics/elections/index.html,"Elections - FoxNews.com ",,Archive
http://www.washingtonpost.com/wp-dyn/content/article/2008/09/17/AR2008091703304.html?hpid=topnews,"Hackers Access Palin's Personal E-Mail, Post Some Online - washingtonpost.com",,Archive
http://www.wired.com/threatlevel/2008/09/group-posts-e-m/,"Group Posts E-Mail Hacked From Palin Account — Update | Threat Level | Wired.com",,Archive
http://en.wikinews.org/wiki/Church_of_Scientology_warns_Wikileaks_over_documents,"Church of Scientology warns Wikileaks over documents - Wikinews, the free news source",,Archive
http://www.wikileaks.org/wiki/Church_of_Scientology_collected_Operating_Thetan_documents,Church_of_Scientology_collected_Operating_Thetan_documents,,"WL original leaks"
http://wikileaks.org/wiki/Changes_in_Guantanamo_Bay_SOP_manual_(2003-2004),Changes_in_Guantanamo_Bay_SOP_manual_(2003-2004),"definitely worth a read, good summary of changes to Guantanamo manual and an examble of scientific journalism","Wikileaks reading list"
http://web.archive.org/web/20080404110524/http://wikileaks.org/wiki/Changes_in_Guantanamo_Bay_SOP_manual_(2003-2004),"Changes in Guantanamo Bay SOP manual (2003-2004) - Wikileaks",,Archive
http://wikileaks.org/wiki/Camp_Delta_Standard_Operating_Procedure_%282004%29,Camp_Delta_Standard_Operating_Procedure_%282004%29,,"WL original leaks"
http://web.archive.org/web/20080403235835/http://wikileaks.org/wiki/Camp_Delta_Standard_Operating_Procedure_(2004),"Camp Delta Standard Operating Procedure (2004) - Wikileaks",,"WL original leaks"
http://www.reuters.com/article/idUSN1424207020071114?pageNumber=1,"Guantanamo operating manual posted on Internet
| Reuters

",,Archive
http://image.guardian.co.uk/sys-files/Guardian/documents/2007/11/15/gitmosop.pdf,gitmosop.pdf,,Archive
http://www.wired.com/politics/onlinerights/news/2007/11/gitmo,"Sensitive Guantanamo Bay Manual Leaked Through Wiki Site ",,Archive
http://www.informationweek.com/news/security/privacy/showArticle.jhtml?articleID=206902154,"Swiss Bank Abandons Lawsuit Against Wikileaks -- Bank Julius Baer -- InformationWeek",,Archive
http://www.reuters.com/article/idUSN2927431720080229,"Judge reverses ruling in Julius Baer leak case
| Reuters

",,Archive
http://www.theinquirer.net/inquirer/news/1039527/judge-rethinks-wikileaks,"
            Judge reverses wikileaks injunction- The Inquirer 
        ",,Archive
http://dockets.justia.com/docket/california/candce/3:2008cv00824/200125/,"Bank Julius Baer & Co. Ltd. et al v. Wikileaks et al :: Justia Dockets & Filings",,Archive
http://web.archive.org/web/20080306005837/http://www.wikileaks.org/wiki/Wikileaks.org_under_injunction,"Wikileaks.org under injunction - Wikileaks",,"WL original leaks"
http://www.guardian.co.uk/world/2007/aug/31/kenya.topstories3," The looting of Kenya | World news | The Guardian ","one of the examples of corruption exposed by WL","Wikileaks reading list"
http://www.state.gov/r/pa/prs/dpb/2010/12/152291.htm,"Daily Press Briefing - December 2, 2010","This is a key read, an amazing and detailed exchange between Sec. Clinton's rep and the press. Meaning and skirt WL issue.","Wikileaks reading list"
http://www.huffingtonpost.com/jonathan-weiler/let-us-now-praise-wikilea_b_790673.html,"Jonathan Weiler: Let Us Now Praise Wikileaks",,Archive
